name,uniprot,gene_name,t2d_minus_control,t2d_minus_control_pvals,high_hba1c_minus_control,high_hba1c_minus_control_pvals
CRE_P0CG37,P0CG37,CFC1,,,,
CRE_P11274,P11274,BCR,,,,
CRE_P15848,P15848,ARSB,,,,
CRE_P16562,P16562,CRISP2,,,,
CRE_P21810,P21810,BGN,,,,
CRE_P22681,P22681,CBL,,,,
CRE_P23515,P23515,OMG,,,,
CRE_P25685,P25685,DNAJB1,,,,
CRE_P30041,P30041,PRDX6,,,,
CRE_P47929,P47929,"LGALS7,LGALS7B",,,,
CRE_P52564,P52564,MAP2K6,,,,
CRE_P57771,P57771,RGS8,,,,
CRE_P58294,P58294,PROK1,,,,
CRE_Q01543,Q01543,FLI1,,,,
CRE_Q02742,Q02742,GCNT1,,,,
CRE_Q05516,Q05516,ZBTB16,,,,
CRE_Q06520,Q06520,SULT2A1,,,,
CRE_Q07960,Q07960,ARHGAP1,,,,
CRE_Q10471,Q10471,GALNT2,,,,
CRE_Q12912,Q12912,LRMP,,,,
CRE_Q13105,Q13105,ZBTB17,,,,
CRE_Q13561,Q13561,DCTN2,,,,
CRE_Q13576,Q13576,IQGAP2,,,,
CRE_Q16653,Q16653,MOG,,,,
CRE_Q49AH0,Q49AH0,CDNF,,,,
CRE_Q6UB28,Q6UB28,METAP1D,,,,
CRE_Q6UXD5,Q6UXD5,SEZ6L2,,,,
CRE_Q6UXK5,Q6UXK5,LRRN1,,,,
CRE_Q7Z5A7,Q7Z5A7,FAM19A5,,,,
CRE_Q7Z5R6,Q7Z5R6,APBB1IP,,,,
CRE_Q86SJ2,Q86SJ2,AMIGO2,,,,
CRE_Q86WV1,Q86WV1,SKAP1,,,,
CRE_Q8N2G4,Q8N2G4,LYPD1,,,,
CRE_Q8N5S9,Q8N5S9,CAMKK1,,,,
CRE_Q8TD06,Q8TD06,AGR3,,,,
CRE_Q8WYN0,Q8WYN0,ATG4A,,,,
CRE_Q92558,Q92558,WASF1,,,,
CRE_Q92982,Q92982,NINJ1,,,,
CRE_Q969V3,Q969V3,NCLN,,,,
CRE_Q96I82,Q96I82,KAZALD1,,,,
CRE_Q96LC7,Q96LC7,SIGLEC10,,,,
CRE_Q96PD2,Q96PD2,DCBLD2,,,,
CRE_Q96PQ0,Q96PQ0,SORCS2,,,,
CRE_Q96SM3,Q96SM3,CPXM1,,,,
CRE_Q9BQT9,Q9BQT9,CLSTN3,,,,
CRE_Q9BWV1,Q9BWV1,BOC,,,,
CRE_Q9C0C4,Q9C0C4,SEMA4C,,,,
CRE_Q9H156,Q9H156,SLITRK2,,,,
CRE_Q9H5Y7,Q9H5Y7,SLITRK6,,,,
CRE_Q9HCU5,Q9HCU5,PREB,,,,
CRE_Q9NRM6,Q9NRM6,IL17RB,,,,
CRE_Q9NS71,Q9NS71,GKN1,,,,
CRE_Q9NSA1,Q9NSA1,FGF21,,,,
CRE_Q9NX58,Q9NX58,LYAR,,,,
CRE_Q9NZ53,Q9NZ53,PODXL2,,,,
CRE_Q9NZN5,Q9NZN5,ARHGEF12,,,,
CRE_Q9P0V8,Q9P0V8,SLAMF8,,,,
CRE_Q9UBG0,Q9UBG0,MRC2,,,,
CRE_Q9UBM4,Q9UBM4,OPTC,,,,
CRE_Q9UK85,Q9UK85,DKKL1,,,,
CRE_Q9UKR0,Q9UKR0,KLK12,,,,
CRE_Q9UPY6,Q9UPY6,WASF3,,,,
CRE_Q9Y2W6,Q9Y2W6,TDRKH,,,,
CRE_Q9Y662,Q9Y662,HS3ST3B1,,,,
CRE_Q9Y6A5,Q9Y6A5,TACC3,,,,
CVD2_O00182,O00182,LGALS9,0.35993803571428806,3.0080944522609785e-09,0.2768595833333354,2.5548274663570913e-05
CVD2_O00220,O00220,TNFRSF10A,0.36723178571428594,2.7157728425770362e-08,0.3213244128787882,8.179482916510092e-07
CVD2_O00253,O00253,AGRP,-0.03873974999999952,1.0,-0.014048049242425087,1.0
CVD2_O14763,O14763,TNFRSF10B,0.42278067857142787,4.043686940086198e-06,0.3718519696969702,0.0003494080672918241
CVD2_O14836,O14836,TNFRSF13B,0.1964789999999983,0.0077191602023641,0.06756732954545441,1.0
CVD2_O43915,O43915,FIGF,-0.14222896428571463,0.40429028386669197,-0.14593244318181853,0.18716777049323302
CVD2_O94907,O94907,DKK1,0.14737232142856982,1.0,0.12468467803030414,1.0
CVD2_P00797,P00797,REN,0.6531404285714295,2.5552106790939427e-06,0.535672348484848,0.0018081344301758599
CVD2_P01127,P01127,PDGFB,0.10809025000000005,1.0,0.1254079166666635,1.0
CVD2_P01241,P01241,GH1,-0.6203337142857146,0.7296754389980301,-0.9771831628787879,0.04413594138839459
CVD2_P01730,P01730,CD4,0.1963488928571424,0.006152481531450447,0.24164096590909168,0.008527274742810488
CVD2_P01833,P01833,PIGR,0.04207775000000158,0.34724037245888034,-0.002570435606060073,1.0
CVD2_P02760,P02760,AMBP,0.12879946428571287,0.0006283434400835355,0.1260715719696961,0.001118993921757622
CVD2_P04179,P04179,SOD2,0.14294857142857254,0.005966555830543468,0.1312239393939425,0.051035674685883624
CVD2_P04792,P04792,HSPB1,-0.022831500000002336,1.0,0.05022886363636481,1.0
CVD2_P05231,P05231,IL6,0.6536881785714286,2.5563212319146173e-06,0.6525330113636363,0.0001217931775071028
CVD2_P06858,P06858,LPL,-0.3080797857142876,0.00634509145524047,-0.3438906439393943,0.0003505978022998636
CVD2_P07204,P07204,THBD,0.05930910714286064,1.0,0.08336202651514846,1.0
CVD2_P07585,P07585,DCN,0.05747539285714254,1.0,0.048101704545455704,1.0
CVD2_P07711,P07711,CTSL,0.15674385714285766,0.06565689445283132,0.1721851704545445,0.09863075821076402
CVD2_P09237,P09237,MMP7,0.266758035714286,0.10374608433977522,0.24513433712121113,0.06434260082815652
CVD2_P09341,P09341,CXCL1,0.25540292857143143,0.33744322794646414,0.34699619318181973,0.3618298133545433
CVD2_P09601,P09601,HMOX1,-0.04449046428571357,1.0,-0.13653259469697154,1.0
CVD2_P09874,P09874,PARP1,0.381157428571429,0.00224121233817827,0.409901571969697,0.0009544429828957191
CVD2_P10147,P10147,CCL3,0.5133318928571433,9.248485228773521e-06,0.41411837121212036,0.0002608215585771395
CVD2_P12104,P12104,FABP2,0.1719203214285674,0.7364295232609713,0.18262543560605948,1.0
CVD2_P12931,P12931,SRC,0.056800749999998956,1.0,0.0877738825757568,1.0
CVD2_P13726,P13726,F3,-0.01902878571428701,1.0,-0.07465087121212033,0.9974784541684732
CVD2_P16860,P16860,NPPB,-0.037394357142857215,1.0,-0.15827573863636357,0.21789625046136213
CVD2_P18510,P18510,IL1RN,0.9412655000000001,2.58106251042327e-09,0.9599246590909098,6.3735253198696465e-09
CVD2_P19883,P19883,FST,0.5183812857142858,2.044614214865913e-08,0.5590449053030291,1.2983054933229417e-07
CVD2_P21583,P21583,KITLG,-0.14464246428571492,0.6583524652950328,-0.2382678977272743,0.04174206043416332
CVD2_P21980,P21980,TGM2,0.11184632142857076,1.0,-0.03570257575757729,1.0
CVD2_P22004,P22004,BMP6,0.310050214285714,0.14152966928784866,0.33964651515151534,0.1392536829664897
CVD2_P24394,P24394,IL4R,0.16980425000000032,0.028208128179519093,0.09966482954545475,0.8716418888177067
CVD2_P25116,P25116,F2R,0.11537060714285552,0.9008348927166401,0.19070659090908926,0.5749605647994984
CVD2_P26022,P26022,PTX3,0.050993249999999435,1.0,0.015079147727274034,1.0
CVD2_P27352,P27352,GIF,0.15558882142857122,1.0,0.2540494696969704,0.20017814701977776
CVD2_P29965,P29965,CD40LG,0.3632347142857135,1.0,0.3655866856060612,1.0
CVD2_P31994,P31994,FCGR2B,0.21261450000000037,0.3554712073273024,0.01945024621212088,1.0
CVD2_P31997,P31997,CEACAM8,0.24494157142857187,0.027246540847775075,0.15027079545454658,1.0
CVD2_P35218,P35218,CA5A,0.8217122857142862,7.664812607841891e-06,0.7446889015151519,0.0002849449104515547
CVD2_P35318,P35318,ADM,0.3813114285714274,0.00020133230763802937,0.31164742424242675,0.042805409492573936
CVD2_P35442,P35442,THBS2,0.1676075714285714,0.00011226457619392403,0.20470731060605996,3.783422359066448e-05
CVD2_P35475,P35475,IDUA,0.40096057142857067,9.99103795987602e-06,0.4120853598484855,7.605133851906077e-05
CVD2_P39900,P39900,MMP12,0.341427964285713,0.028208128179519093,0.36280702651515107,0.05826614979485315
CVD2_P40225,P40225,THPO,0.0266016785714287,1.0,-0.05369249999999948,1.0
CVD2_P41159,P41159,LEP,0.7284295714285687,0.0006042720422644531,0.5951926893939392,0.015854610974107095
CVD2_P47992,P47992,XCL1,0.1930008928571434,0.12834785197184082,0.2005353977272728,0.6375363366981411
CVD2_P49763,P49763,PGF,0.11038025000000218,0.5996390616956676,0.13864899621212246,0.4690516344424749
CVD2_P51161,P51161,FABP6,-0.18493321428571496,0.3179012199533886,-0.1402110416666673,1.0
CVD2_P51888,P51888,PRELP,0.06711207142856868,0.46432117845169985,0.07477410984848554,0.15244418129553003
CVD2_P78380,P78380,OLR1,0.36855196428571535,4.0845888132763567e-05,0.27526846590909226,0.010523394720506106
CVD2_Q02763,Q02763,TEK,0.11845210714285592,0.10321764535970707,0.12545687500000113,0.13352587694968404
CVD2_Q04760,Q04760,GLO1,0.4257973214285711,0.016418953245512347,0.3689692234848492,0.15736769782678015
CVD2_Q12866,Q12866,MERTK,0.14711335714285578,0.7083327039325914,0.04732422348484899,1.0
CVD2_Q13043,Q13043,STK4,0.11008103571428585,1.0,0.16807060606060542,1.0
CVD2_Q13219,Q13219,PAPPA,0.021024142857142714,1.0,-0.07812367424242472,1.0
CVD2_Q14005,Q14005,IL16,0.26952103571428676,0.006422248046284682,0.20161047348484917,0.22989446111850473
CVD2_Q14116,Q14116,IL18,0.27050364285714146,0.010910614946132161,0.2978092234848493,0.01633843680291317
CVD2_Q14242,Q14242,SELPLG,0.09489214285714187,0.014317449339632691,0.14447857954545462,0.019372549959532553
CVD2_Q15109,Q15109,AGER,-0.19988557142857122,0.011155022345623045,-0.20099607954545462,0.035712890066887916
CVD2_Q15389,Q15389,ANGPT1,0.2496159642857183,0.6912698177757531,0.22749356060606019,1.0
CVD2_Q16651,Q16651,PRSS8,0.3083390357142868,2.117323211699284e-05,0.32145388257575647,1.2370094389594135e-05
CVD2_Q16698,Q16698,DECR1,0.4387959642857151,0.8374896407572747,0.634867386363636,0.17794355351701951
CVD2_Q76LX8,Q76LX8,ADAMTS13,0.0805524999999987,0.23100564081961225,0.041147386363636684,0.8064900085347536
CVD2_Q8IW75,Q8IW75,SERPINA12,0.1976826428571432,1.0,0.06771348484848483,1.0
CVD2_Q8IYS5,Q8IYS5,OSCAR,0.13825692857143146,0.007962199721580354,0.06539249999999974,0.4712774890418595
"CVD2_Q8NEV9,Q14213","Q8NEV9,Q14213","IL27,EBI3",0.084490821428572,0.3978633284785874,0.013464488636363292,1.0
CVD2_Q8TAD2,Q8TAD2,IL17D,-0.021376392857142434,1.0,-0.07077155303030302,1.0
CVD2_Q92583,Q92583,CCL17,0.1647040357142835,1.0,0.1043192234848469,1.0
CVD2_Q96D42,Q96D42,HAVCR1,0.7339980000000006,4.782764141410055e-06,0.6670346780303023,0.001280700257371603
CVD2_Q96IQ7,Q96IQ7,VSIG2,0.25625057142857166,0.03295847732103301,0.28340282196969735,0.05572652585622943
CVD2_Q99075,Q99075,HBEGF,0.30450996428571475,0.5234738370119029,0.26373914772727325,0.7230049463679283
CVD2_Q99523,Q99523,SORT1,0.1544637857142881,0.04917379033810863,0.1558299621212118,0.13212804446379256
CVD2_Q99895,Q99895,CTRC,-0.11938957142857198,1.0,-0.19369668560606357,0.8908838008147146
CVD2_Q9BQ51,Q9BQ51,PDCD1LG2,0.1052500357142856,0.33744322794646414,0.1679068749999999,0.04189036716458817
CVD2_Q9BQR3,Q9BQR3,PRSS27,0.05439142857142798,1.0,0.08563736742424233,1.0
CVD2_Q9BUD6,Q9BUD6,SPON2,0.14536407142857044,7.982390282712377e-05,0.10721772727272771,0.01738582368592172
CVD2_Q9BWV1,Q9BWV1,BOC,-0.010671535714286584,1.0,-0.006879526515152001,1.0
CVD2_Q9BYF1,Q9BYF1,ACE2,0.5376664999999985,2.380247451286193e-05,0.5121930303030289,0.00044747130043510297
CVD2_Q9GZV9,Q9GZV9,FGF23,0.34841057142857146,0.0015593347697432517,0.32974344696969693,0.0973239514707407
CVD2_Q9HB29,Q9HB29,IL1RL2,0.29628028571428544,0.0014334838515906803,0.1799563068181813,0.38485173338802264
CVD2_Q9NQ25,Q9NQ25,SLAMF7,0.2830131785714287,0.012530619048677047,0.23439166666666678,0.1015928224794887
CVD2_Q9NSA1,Q9NSA1,FGF21,1.325063607142856,4.4691382873340035e-06,1.4705357007575772,3.052227595188821e-07
CVD2_Q9UEW3,Q9UEW3,MARCO,0.12176371428571553,0.002758537718427719,0.1419489772727287,0.0251575537570187
CVD2_Q9UIB8,Q9UIB8,CD84,0.14180349999999908,0.9306708281176274,0.19135861742424165,0.38050797577989187
CVD2_Q9UJM8,Q9UJM8,HAO1,1.2618060714285715,3.312398018790844e-05,1.4623585416666662,1.6368074699734448e-06
CVD2_Q9UK05,Q9UK05,GDF2,-0.12660910714285478,1.0,-0.0844596590909088,1.0
CVD2_Q9UKP3,Q9UKP3,ITGB1BP2,0.28354000000000035,1.0,0.3714370643939393,1.0
CVD2_Q9Y6K9,Q9Y6K9,IKBKG,0.3102920357142853,1.0,0.5162478598484848,0.10806078396452871
CVD2_Q9Y6Q6,Q9Y6Q6,TNFRSF11A,0.5405799285714288,7.560616274245682e-10,0.46706753787878874,6.936869569003185e-06
CVD3_NT-proBNP,NT-proBNP,NT-proBNP,-0.13977600000000123,1.0,-0.27703931818181804,0.1921291533203757
CVD3_O00175,O00175,CCL24,-0.16262039285714458,1.0,-0.24216581439393892,0.7841172903991698
CVD3_O00300,O00300,TNFRSF11B,0.2325730357142861,0.006440708492229863,0.22162689393939417,0.09400889376315211
CVD3_O14798,O14798,TNFRSF10C,0.1470047499999989,0.40225828875226394,0.11638263257575776,1.0
CVD3_O15467,O15467,CCL16,0.27421428571428663,0.015101982123802234,0.16134782196969688,0.2667643254855838
CVD3_O75594,O75594,PGLYRP1,0.1735938571428557,0.1331824592581337,0.0925037310606065,1.0
CVD3_O95998,O95998,IL18BP,0.21749446428571506,0.012037889060764877,0.17556034090909112,0.32031298047942175
CVD3_P00533,P00533,EGFR,0.009493464285715625,1.0,-0.002069526515151132,1.0
CVD3_P00749,P00749,PLAU,-0.03972117857142887,1.0,-0.0660060606060604,1.0
CVD3_P00750,P00750,PLAT,0.5503454999999988,0.1916988758485915,0.4013814204545447,1.0
CVD3_P01130,P01130,LDLR,0.42599514285714335,0.00038258684890904405,0.3549353030303042,0.010121736454516724
CVD3_P01589,P01589,IL2RA,0.185247642857143,0.1055963942040737,0.10050196969697023,1.0
CVD3_P02144,P02144,MB,-0.03063703571428622,1.0,-0.09757346590909055,1.0
CVD3_P02452,P02452,COL1A1,-0.24952071428571543,0.0018067843379660274,-0.174421818181818,0.2058294980086418
CVD3_P02786,P02786,TFRC,0.3273139642857128,0.032100281686458496,0.3587013257575764,0.0847428455892034
CVD3_P04080,P04080,CSTB,0.31833103571428545,0.009906108153567026,0.2698344507575756,0.04449764312934027
CVD3_P04085,P04085,PDGFA,0.20893464285714192,1.0,0.15123981060605995,1.0
CVD3_P04275,P04275,VWF,0.40818121428571175,0.6938734722593168,0.34850731060606144,1.0
CVD3_P05107,P05107,ITGB2,0.1643470357142851,0.6667666625243716,0.22503304924242418,0.04531346530108938
CVD3_P05121,P05121,SERPINE1,0.5408485000000001,0.0002721760908434606,0.5072291098484856,0.0013670466031203506
CVD3_P05164,P05164,MPO,0.1865099999999993,0.06962152583786675,0.19041899621212277,0.04174206043416332
CVD3_P07339,P07339,CTSD,0.4879843571428566,4.529502850727651e-09,0.46669566287878794,1.6923141310617196e-08
CVD3_P08253,P08253,MMP2,-0.026529035714286664,1.0,-0.06238861742424362,1.0
CVD3_P08254,P08254,MMP3,-0.10775410714285716,1.0,-0.2005441098484848,0.40768165707456083
CVD3_P08833,P08833,IGFBP1,-0.26013357142857085,0.9306708281176274,-0.01723954545454376,1.0
CVD3_P08887,P08887,IL6R,0.08547728571428514,1.0,0.0693436742424236,1.0
CVD3_P10451,P10451,SPP1,-0.0110535357142858,1.0,0.04334407196969803,1.0
CVD3_P10646,P10646,TFPI,-0.03754750000000051,1.0,-0.05078359848484659,1.0
CVD3_P13500,P13500,CCL2,0.16390853571428643,0.010672745204844057,0.11994147727272697,0.5407573132140905
CVD3_P13598,P13598,ICAM2,0.07675117857142766,1.0,0.023681382575756693,1.0
CVD3_P13686,P13686,ACP5,0.23150439285714253,0.0005237583598397038,0.24079359848484838,0.013261862203766865
CVD3_P14778,P14778,IL1R1,0.13772789285714282,0.23834329418502306,0.10442729166666798,1.0
CVD3_P14780,P14780,MMP9,0.4556220357142866,0.0016785833450790348,0.31660174242424244,0.13352587694968404
CVD3_P15085,P15085,CPA1,0.23681810714285767,0.6770987037156817,-0.09024479166666755,1.0
CVD3_P15086,P15086,CPB1,0.16959203571428727,1.0,-0.15728606060606065,1.0
CVD3_P15090,P15090,FABP4,0.8532745000000013,2.624161974489619e-07,0.7627890909090889,1.8706714220545648e-05
CVD3_P15144,P15144,ANPEP,0.053826214285715324,1.0,0.05586549242424255,1.0
CVD3_P16109,P16109,SELP,0.2396130714285718,0.8321283306857126,0.2403607007575772,0.9974784541684732
CVD3_P16284,P16284,PECAM1,0.26453732142857156,0.6506363866940784,0.18334640151515114,1.0
CVD3_P16422,P16422,EPCAM,-0.6458905714285725,0.0002780201806240757,-0.7063946969696966,0.0015459343136772052
CVD3_P16581,P16581,SELE,0.7154612857142855,2.044614214865913e-08,0.6608162499999999,1.4835486462650386e-07
CVD3_P17931,P17931,LGALS3,0.16737007142857152,0.139968979343103,0.09535484848484721,1.0
CVD3_P18065,P18065,IGFBP2,-0.5911447857142864,9.357280760227484e-06,-0.5376366477272736,0.00025138791133757685
CVD3_P19438,P19438,TNFRSF1A,0.3085533214285707,0.00017790541153809555,0.23363501893939453,0.07955629437709773
CVD3_P19957,P19957,PI3,0.18974164285714235,0.1831398910613481,0.24533070075757513,0.04431283708572804
CVD3_P20160,P20160,AZU1,,,,
CVD3_P20333,P20333,TNFRSF1B,0.313296321428572,5.25092996915106e-05,0.22736232954545432,0.05173342391899723
CVD3_P24158,P24158,PRTN3,0.23959824999999935,0.027246540847775075,0.1811890719696958,0.5114573493211172
CVD3_P25445,P25445,FAS,0.20621753571428592,0.019452299329151487,0.13647022727272784,0.7230049463679283
CVD3_P27930,P27930,IL1R2,0.22489450000000133,0.008137945162271476,0.20876462121212302,0.04469022748769439
CVD3_P28799,P28799,GRN,0.20353992857142789,0.0026704043646767405,0.120962746212121,0.3618298133545433
CVD3_P30530,P30530,AXL,0.1022383928571422,0.6938734722593168,0.11775935606060628,1.0
CVD3_P33151,P33151,CDH5,0.027382678571430397,1.0,0.017815757575756486,1.0
CVD3_P35247,P35247,SFTPD,-0.07197992857142754,1.0,-0.21578367424242462,0.6759880223938131
CVD3_P36222,P36222,CHI3L1,0.6090848571428573,4.421326822585814e-06,0.5509602840909098,0.0003275241781776073
CVD3_P36941,P36941,LTBR,0.09000928571428446,1.0,0.019720397727272854,1.0
CVD3_P42574,P42574,CASP3,0.23662685714285736,1.0,0.16052160984848385,1.0
CVD3_P54760,P54760,EPHB4,0.10363360714285719,0.5410990537235945,0.06442348484848548,1.0
CVD3_P56470,P56470,LGALS4,0.662239535714285,7.374939994895873e-10,0.6580816666666669,7.504678187718871e-09
CVD3_P78324,P78324,SIRPA,0.13119553571428622,0.5713598516380718,0.09215193181818115,1.0
CVD3_P80370,P80370,DLK1,0.14987367857142875,0.9306708281176274,0.10677433712121243,1.0
CVD3_P98160,P98160,HSPG2,0.13854428571428556,0.4566990479321535,0.06545655303030173,1.0
CVD3_Q01638,Q01638,IL1RL1,0.2734794642857139,0.014383365631076324,0.2855339962121226,0.015850316757571193
CVD3_Q03405,Q03405,PLAUR,0.2666249285714297,0.0004440101726888528,0.22915541666666694,0.00511468366871395
CVD3_Q07654,Q07654,TFF3,0.19982450000000007,0.2520002625324235,-0.015869924242423394,1.0
CVD3_Q12860,Q12860,CNTN1,-0.045808392857142444,1.0,-0.03674664772727265,1.0
CVD3_Q13231,Q13231,CHIT1,0.1864367499999986,1.0,0.2473066856060635,1.0
CVD3_Q13740,Q13740,ALCAM,0.11884174999999875,0.34724037245888034,0.11326185606060601,0.7199040987130446
CVD3_Q13867,Q13867,BLMH,0.06494510714285706,1.0,0.006022537878789258,1.0
CVD3_Q15166,Q15166,PON3,-0.8380779642857146,2.2956936077817994e-10,-0.9165987878787876,8.509257823491395e-11
CVD3_Q16270,Q16270,IGFBP7,0.14102542857143163,0.1116688016862203,0.14980524621212332,0.7084412392129655
CVD3_Q16663,Q16663,CCL15,0.2156189642857127,0.03938652973236575,0.18746490530303017,0.18962949082147187
CVD3_Q5T2D2,Q5T2D2,TREML2,0.09784257142857289,1.0,0.05007111742424186,1.0
CVD3_Q86VB7,Q86VB7,CD163,0.3934756071428591,0.00017790541153809555,0.423524242424242,0.00021442050513600277
CVD3_Q8NBP7,Q8NBP7,PCSK9,0.19900539285714292,0.03295847732103301,0.15808047348484866,0.4690516344424749
CVD3_Q92876,Q92876,KLK6,-0.14711182142857204,0.10504561157783279,-0.1293245833333332,0.22203685596437195
CVD3_Q92956,Q92956,TNFRSF14,0.25241364285714507,0.09973583997215578,0.19953102272727463,0.3618298133545433
CVD3_Q96F46,Q96F46,IL17RA,0.23427978571428554,0.1966265656487707,0.13434234848485005,1.0
CVD3_Q96PL1,Q96PL1,SCGB3A2,-0.34608139285714223,0.001137783258854919,-0.37058143939393906,0.00877982141353559
CVD3_Q99727,Q99727,TIMP4,-0.03405771428571569,1.0,-0.025292821969697066,1.0
CVD3_Q99969,Q99969,RARRES2,0.20058696428571565,0.01040384425900809,0.13091706439393747,0.289442349872702
CVD3_Q99988,Q99988,GDF15,0.7575023571428572,5.323718298927561e-11,0.6024698295454538,6.764995260607968e-07
CVD3_Q9H2A7,Q9H2A7,CXCL16,0.14532867857142762,0.08079930627097873,0.09551778409090872,0.9888607644569839
