index,CHEMBL,KEGG,PUBCHEM,high_hba1c_minus_control,high_hba1c_minus_control_pvals
isoleucine,CHEMBL1233584,C00407,6306.0,,
2-aminoadipate,CHEMBL433238,C00956,469.0,,
citrulline,CHEMBL444814,C00327,9750.0,,
lactose,,C00243,84571.0,,
leucine,CHEMBL291962,C00123,6106.0,,
lysine,CHEMBL8085,C00047,5962.0,,
malate,CHEMBL1455497,C00149,525.0,,
methionine,CHEMBL42336,C00073,6137.0,,
palmitate (16:0),CHEMBL82293,C00249,985.0,,
nicotinamide,CHEMBL1140,C00153,936.0,,
stearate (18:0),CHEMBL46403,C01530,5281.0,,
ornithine,CHEMBL446143,C00077,6262.0,,
orotate,CHEMBL1235017,C00295,967.0,,
palmitoleate (16:1n7),CHEMBL453509,C08362,445638.0,,
phenylalanine,CHEMBL301523,C00079,6140.0,,
phosphate,,C00009,1061.0,,
proline,CHEMBL54922,C00148,145742.0,,
lactate,CHEMBL1200559,C00186,612.0,,
pyridoxal,CHEMBL102970,C00250,1050.0,,
retinol (Vitamin A),CHEMBL986,C00473,445354.0,,
salicylate,CHEMBL424,C00805,338.0,,
serine,CHEMBL11298,C00065,5951.0,,
serotonin,CHEMBL39,C00780,5202.0,,
taurine,CHEMBL239243,C00245,1123.0,,
myristate (14:0),CHEMBL111077,C06424,11005.0,,
urea,CHEMBL985,C00086,1176.0,,
uridine,CHEMBL100259,C00299,6029.0,,
trans-urocanate,CHEMBL1236602,C00785,736715.0,,
glutamate,CHEMBL276389,C00025,611.0,,
glutamine,CHEMBL930,C00064,5961.0,,
threonine,CHEMBL291747,C00188,6288.0,,
tryptophan,CHEMBL54976,C00078,6305.0,,
valine,CHEMBL43068,C00183,6287.0,,
nicotinate,CHEMBL573,C00253,938.0,,
glucose,CHEMBL1222250,C00031,5793.0,,
alpha-ketobutyrate,CHEMBL171246,C00109,58.0,,
adenosine,CHEMBL477,C00212,60961.0,,
betaine,CHEMBL1182,C00719,247.0,,
cysteine,CHEMBL863,C00097,5862.0,,
mannose,CHEMBL469448,C00159,18950.0,,
dimethylglycine,CHEMBL1232274,C01026,673.0,,
alanine,CHEMBL279597,C00041,5950.0,,
tyrosine,CHEMBL925,C00082,6057.0,,
pseudouridine,CHEMBL3144027,C02067,15047.0,,
pyruvate,CHEMBL1162144,C00022,1060.0,,
uracil,CHEMBL566,C00106,1174.0,,
xylose,CHEMBL502135,C00181,135191.0,,
cytidine,CHEMBL95606,C00475,6175.0,,
cotinine,CHEMBL578211,,854019.0,,
caffeine,CHEMBL113,C07481,2519.0,,
fructose,CHEMBL1232863,C00095,5984.0,,
adenine,CHEMBL226345,C00147,190.0,,
cytosine,CHEMBL15913,C00380,597.0,,
caprate (10:0),CHEMBL107498,C01571,2969.0,,
margarate (17:0),CHEMBL1172910,,10465.0,,
nonadecanoate (19:0),CHEMBL1169674,C16535,12591.0,,
arachidate (20:0),CHEMBL1173381,C06425,10467.0,,
maltose,,C00208,10991489.0,,
asparagine,CHEMBL58832,C00152,6267.0,,
N-stearoyl-sphinganine (d18:0/18:0)*,,,5283573.0,,
dihydroorotate,CHEMBL75782,C00337,648.0,,
caproate (6:0),CHEMBL14184,C01585,8892.0,,
caprylate (8:0),CHEMBL324846,C06423,379.0,,
pentadecanoate (15:0),CHEMBL460025,C16537,13849.0,,
trans-4-hydroxyproline,CHEMBL352418,C01157,5810.0,,
allantoin,CHEMBL593429,C02350,204.0,,
xanthine,CHEMBL1424,C00385,1188.0,,
5-oxoproline,CHEMBL397976,C01879,7405.0,,
picolinate,CHEMBL72628,C10164,1018.0,,
sarcosine,CHEMBL304383,C00213,1088.0,,
pantothenate,CHEMBL1594,C00864,6613.0,,
pipecolate,CHEMBL308408,C00408,849.0,,
phosphoethanolamine,CHEMBL146972,C00346,1015.0,,
glycerate,,C00258,752.0,,
3-ureidopropionate,CHEMBL20962,C02642,111.0,,
N-acetylleucine,CHEMBL56021,C02710,70912.0,,
N-acetylmethionine,,C02712,448580.0,,
N-acetylvaline,,,66789.0,,
erucate (22:1n9),CHEMBL1173380,C08316,5281116.0,,
"bilirubin (Z,Z)",CHEMBL501680,C00486,5280352.0,,
thyroxine,CHEMBL1624,C01829,5819.0,,
gamma-glutamyltyrosine,,,94340.0,,
methyl indole-3-acetate,CHEMBL4529044,,74706.0,,
alpha-tocopherol,CHEMBL47,C02477,14985.0,,
N-acetylalanine,CHEMBL1231115,C02847,88064.0,,
vanillylmandelate (VMA),CHEMBL1256396,C05584,1245.0,,
4-acetamidobutanoate,,C02946,18189.0,,
3-aminoisobutyrate,CHEMBL3544550,C05145,64956.0,,
citrate,CHEMBL1261,C00158,311.0,,
2-aminobutyrate,CHEMBL553426,C02261,439691.0,,
urate,CHEMBL792,C00366,1175.0,,
ursodeoxycholate,CHEMBL1551,C07880,31401.0,,
oleoyl ethanolamide,CHEMBL280065,,5283454.0,,
gamma-glutamylglutamine,,C05283,150914.0,,
4-hydroxyphenylpyruvate,CHEMBL607712,C01179,979.0,,
butyrate/isobutyrate (4:0),CHEMBL14227,C00246,264.0,,
tigloylglycine,,,6441567.0,,
N-acetylneuraminate,CHEMBL4280954,C00270,439197.0,,
N-acetylglucosaminylasparagine,,C04540,123826.0,,
acetoacetate,CHEMBL1230762,C00164,96.0,,
creatine,CHEMBL283800,C00300,586.0,,
"cys-gly, oxidized",,,333293.0,,
estrone 3-sulfate,CHEMBL494753,C02538,3001028.0,,
dihomo-linoleate (20:2n6),CHEMBL464983,C16525,6439848.0,,
gamma-glutamylhistidine,,,7017195.0,,
2-hydroxystearate,CHEMBL4562220,C03045,69417.0,,
N1-methyladenosine,CHEMBL1866485,C02494,27476.0,,
glycerol,CHEMBL692,C00116,753.0,,
choline,CHEMBL920,C00114,305.0,,
gamma-glutamylleucine,,,151023.0,,
3-methoxytyrosine,,,1670.0,,
fluoxetine,CHEMBL41,D00326,3386.0,,
4-acetamidophenol,CHEMBL112,C06804,1983.0,,
naproxen,CHEMBL154,C01517,156391.0,,
beta-hydroxyisovalerate,CHEMBL4303793,,69362.0,,
ibuprofen,CHEMBL521,D00126,3672.0,,
arachidonoyl ethanolamide,CHEMBL15848,C11695,5281969.0,,
palmitoyl ethanolamide,CHEMBL417675,C16512,4671.0,,
N-palmitoyl-sphingosine (d18:1/16:0),CHEMBL35292,,5283564.0,,
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),,,5283496.0,,
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,,,,
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),,,5287971.0,,
stearoyl sphingomyelin (d18:1/18:0),CHEMBL1609656,C00550,6453725.0,,
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),CHEMBL285376,,6436017.0,,
N-stearoyl-sphingosine (d18:1/18:0)*,,,5283565.0,,
glycochenodeoxycholate,CHEMBL1552,C05466,12544.0,,
taurochenodeoxycholate,CHEMBL185878,C05465,387316.0,,
taurocholate,CHEMBL224867,C05122,6675.0,,
taurodeoxycholate,CHEMBL412272,C05463,2733768.0,,
2-hydroxyhippurate (salicylurate),CHEMBL586,C07588,10253.0,,
metoprolol,CHEMBL13,D02358,4171.0,,
3-(N-acetyl-L-cystein-S-yl) acetaminophen,,,83967.0,,
4-acetaminophen sulfate,CHEMBL3544802,C06804,83939.0,,
eicosapentaenoate (EPA; 20:5n3),CHEMBL460026,C06428,446284.0,,
methylsuccinate,,,10349.0,,
ethylmalonate,CHEMBL1160009,,11756.0,,
carnitine,CHEMBL1149,C00318,10917.0,,
benzoate,CHEMBL541,C00180,243.0,,
3-phenylpropionate (hydrocinnamate),CHEMBL851,C05629,107.0,,
phenylacetate,CHEMBL1044,C07086,999.0,,
hippurate,CHEMBL461,C01586,464.0,,
xanthurenate,CHEMBL312535,C02470,5699.0,,
suberate (C8-DC),CHEMBL1162491,C08278,10457.0,,
3-methyl-2-oxovalerate,,C00671,47.0,,
methionine sulfoxide,CHEMBL445753,C02989,158980.0,,
3-methylhistidine,,C01152,64969.0,,
4-acetamidophenylglucuronide,CHEMBL1647,,83944.0,,
5-hydroxylysine,CHEMBL145167,C16741,1029.0,,
4-guanidinobutanoate,CHEMBL21157,C01035,500.0,,
glucuronate,,C00191,444791.0,,
glycerol 3-phosphate,CHEMBL358320,C00093,754.0,,
imidazole lactate,,C05568,793.0,,
kynurenine,CHEMBL498416,C00328,161166.0,,
glycerophosphorylcholine (GPC),CHEMBL4750376,C00670,71920.0,,
maltotriose,CHEMBL4637211,C01835,439586.0,,
N-acetylglutamate,CHEMBL1234751,C00624,70914.0,,
N-alpha-acetylornithine,,C00437,439232.0,,
tartarate,CHEMBL1236315,C00898,444305.0,,
xanthosine,CHEMBL402439,C01762,64959.0,,
ribitol,CHEMBL3137744,C00474,6912.0,,
glycodeoxycholate,CHEMBL258605,C05464,3035026.0,,
theophylline,CHEMBL190,C07130,2153.0,,
quinate,CHEMBL465398,C00296,6508.0,,
theobromine,CHEMBL1114,C07480,5429.0,,
gentisate,CHEMBL1461,C00628,3469.0,,
paraxanthine,CHEMBL1158,C13747,4687.0,,
indolelactate,CHEMBL485011,C02043,92904.0,,
3-indoxyl sulfate,CHEMBL1233636,,10258.0,,
gamma-glutamylphenylalanine,,,111299.0,,
4-methyl-2-oxopentanoate,CHEMBL445647,C00233,70.0,,
"1,5-anhydroglucitol (1,5-AG)",CHEMBL344637,C07326,64960.0,,
1-palmityl-GPC (O-16:0),,,3983.0,,
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),,,,,
sphingosine 1-phosphate,CHEMBL225155,C06124,5283560.0,,
1-stearoyl-2-oleoyl-GPS (18:0/18:1),,,9547087.0,,
1-stearoyl-GPI (18:0),,,,,
"1,2-dipalmitoyl-GPC (16:0/16:0)",CHEMBL1200737,D03585,452110.0,,
docosahexaenoate (DHA; 22:6n3),CHEMBL367149,C06429,445580.0,,
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),,,129657.0,,
alpha-hydroxyisocaproate,,C03264,83697.0,,
maleate,CHEMBL539648,C01384,444266.0,,
4-acetylphenol sulfate,,,4684006.0,,
2-hydroxyoctanoate,CHEMBL4447980,,94180.0,,
levulinate (4-oxovalerate),CHEMBL1235931,,11579.0,,
3-hydroxyoctanoate,,,26613.0,,
phenyllactate (PLA),CHEMBL1778420,C05607,3848.0,,
palmitoylcarnitine (C16),CHEMBL301722,C02990,461.0,,
hexanoylcarnitine (C6),,,6426853.0,,
theanine,CHEMBL3039113,C01047,439378.0,,
N-acetylaspartate (NAA),CHEMBL1162494,C01042,65065.0,,
dehydroepiandrosterone sulfate (DHEA-S),CHEMBL259898,C04555,12594.0,,
acetylcarnitine (C2),,C02571,1.0,,
cysteine s-sulfate,CHEMBL457665,C05824,115015.0,,
1-palmitoylglycerol (16:0),CHEMBL1078140,,14900.0,,
tartronate (hydroxymalonate),CHEMBL1794676,C02287,45.0,,
oxalate (ethanedioate),CHEMBL146755,C00209,971.0,,
erythritol,CHEMBL349605,C00503,222285.0,,
saccharin,CHEMBL310671,D01085,5143.0,,
3-hydroxymyristate,CHEMBL4456892,,16064.0,,
iminodiacetate (IDA),CHEMBL461164,C19911,8897.0,,
1-oleoylglycerol (18:1),CHEMBL428593,,5283468.0,,
3-methyl-2-oxobutyrate,CHEMBL146554,C00141,49.0,,
homoarginine,CHEMBL589752,C01924,9085.0,,
homocitrulline,,C02427,65072.0,,
pyroglutamylglutamine,,,14889607.0,,
bradykinin,CHEMBL406291,C00306,439201.0,,
2-linoleoylglycerol (18:2),,,5365676.0,,
3-hydroxydecanoate,CHEMBL4448230,,26612.0,,
EDTA,CHEMBL858,C00284,6049.0,,
N-acetylglycine,CHEMBL289004,,10972.0,,
ribonate,,C01685,5460677.0,,
threonate,,C01620,151152.0,,
galactonate,,C00880,128869.0,,
beta-sitosterol,CHEMBL221542,C01753,222284.0,,
indoleacetate,CHEMBL82411,C00954,802.0,,
1-linoleoylglycerol (18:2),CHEMBL458250,,5283469.0,,
1-methylhistidine,CHEMBL1233327,C01152,92105.0,,
butyrylcarnitine (C4),CHEMBL2074693,C02862,439829.0,,
isobutyrylcarnitine (C4),,,168379.0,,
7-ketodeoxycholate,CHEMBL3392000,,188292.0,,
glycolithocholate,CHEMBL258818,C15557,115245.0,,
androsterone sulfate,CHEMBL2074598,,159663.0,,
indolepropionate,CHEMBL207225,,3744.0,,
N-(2-furoyl)glycine,CHEMBL456404,,21863.0,,
trigonelline (N'-methylnicotinate),CHEMBL350675,C01004,5570.0,,
dodecanedioate (C12-DC),CHEMBL3182356,C02678,12736.0,,
"glutamate, gamma-methyl ester",CHEMBL1233072,,68662.0,,
N-acetyltyrosine,CHEMBL65543,,68310.0,,
"1,3-dimethylurate",CHEMBL795,,70346.0,,
3-methylxanthine,CHEMBL619,C16357,70639.0,,
3-hydroxylaurate,CHEMBL4288936,,94216.0,,
pyridoxate,,C00847,6723.0,,
gamma-glutamylvaline,,,7015683.0,,
pyroglutamylvaline,,,152416.0,,
3-hydroxysebacate,,,3017884.0,,
5-hydroxyhexanoate,,,170748.0,,
propionylglycine,,,98681.0,,
2-hydroxyadipate,,C02360,193530.0,,
valylglutamate,,,7009623.0,,
propionylcarnitine (C3),CHEMBL2074916,C03017,107738.0,,
pro-hydroxy-pro,,,11673055.0,,
3-hydroxy-2-ethylpropionate,CHEMBL1160011,,188979.0,,
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),CHEMBL1231562,,123979.0,,
docosapentaenoate (n3 DPA; 22:5n3),,C16513,6441454.0,,
docosadienoate (22:2n6),,C16533,5282807.0,,
adrenate (22:4n6),CHEMBL1491103,C16527,5497181.0,,
10-undecenoate (11:1n1),,C13910,14891.0,,
myristoleate (14:1n5),CHEMBL456732,C08322,5281119.0,,
4-imidazoleacetate,CHEMBL784,C02835,96215.0,,
1-methyl-4-imidazoleacetate,,C05828,75810.0,,
sebacate (C10-DC),CHEMBL1232164,C08277,5192.0,,
stearidonate (18:4n3),CHEMBL484430,C16300,5312508.0,,
5-dodecenoate (12:1n7),CHEMBL1169837,,5312378.0,,
"bradykinin, hydroxy-pro(3)",,,169947.0,,
octanoylcarnitine (C8),CHEMBL3559487,C02838,123701.0,,
tauro-beta-muricholate,,,168408.0,,
decanoylcarnitine (C10),CHEMBL3559489,,10245190.0,,
N-acetylglutamine,CHEMBL1234757,C02716,182230.0,,
N-acetyltryptophan,CHEMBL54170,C03137,700653.0,,
N-acetylphenylalanine,CHEMBL55743,C03519,74839.0,,
gamma-glutamyl-epsilon-lysine,,,7015685.0,,
1-palmitoyl-GPC (16:0),,,86554.0,,
1-margaroyl-GPC (17:0),CHEMBL467935,C04230,24779463.0,,
N-acetylarginine,,C02562,67427.0,,
piperine,CHEMBL43185,C03882,638024.0,,
campesterol,CHEMBL520535,C01789,173183.0,,
myristoylcarnitine (C14),,,6426854.0,,
1-stearoyl-GPC (18:0),CHEMBL3093101,,497299.0,,
1-oleoyl-GPC (18:1),CHEMBL3093102,,16081932.0,,
N-acetylthreonine,,,152204.0,,
N-acetylisoleucine,,,306109.0,,
10-nonadecenoate (19:1n9),,,5312513.0,,
10-heptadecenoate (17:1n7),,,5312435.0,,
epiandrosterone sulfate,,C07635,9929317.0,,
"bradykinin, des-arg(9)",CHEMBL1890370,C00306,105044.0,,
N-acetylhistidine,CHEMBL3251664,C02997,75619.0,,
gamma-glutamylglycine,,,165527.0,,
gamma-glutamyltryptophan,,,3989307.0,,
stachydrine,CHEMBL1456892,C10172,115244.0,,
alpha-hydroxyisovalerate,CHEMBL1162479,,99823.0,,
hydroxybupropion,CHEMBL3544616,,446.0,,
gamma-glutamylmethionine,,,7009567.0,,
gamma-glutamylthreonine,,,76078708.0,,
p-cresol sulfate,CHEMBL4551850,C01468,4615423.0,,
nicotinate ribonucleoside,CHEMBL396943,C05841,161234.0,,
pioglitazone,,C07675,4829.0,,
erythronate*,,,2781043.0,,
Fibrinopeptide A*,,,16133137.0,,
"Fibrinopeptide A, des-ala(1)*",,,,,
salicyluric glucuronide*,,,,,
eicosenoate (20:1),CHEMBL4640620,C16526,5282768.0,,
linolenate [alpha or gamma; (18:3n3 or 6)],CHEMBL8739,C06426,5280934.0,,
aconitate [cis or trans],,C00417,,,
1-myristoyl-GPC (14:0),CHEMBL462723,C04230,460604.0,,
1-arachidoyl-GPC (20:0),,C04230,24779473.0,,
metoprolol acid metabolite*,CHEMBL3544699,,62936.0,,
stearoylcarnitine (C18),CHEMBL3392056,,6426855.0,,
laurylcarnitine (C12),,,10427569.0,,
isovalerylcarnitine (C5),,,6426851.0,,
1-linoleoyl-GPC (18:2),,C04100,11988421.0,,
7-methylxanthine,CHEMBL321248,C16353,68374.0,,
"1,3,7-trimethylurate",CHEMBL1767,C16361,79437.0,,
"3,7-dimethylurate",CHEMBL430928,C16360,83126.0,,
"1,7-dimethylurate",CHEMBL794,C16356,91611.0,,
5-acetylamino-6-formylamino-3-methyluracil,,C16365,108214.0,,
5-acetylamino-6-amino-3-methyluracil,CHEMBL1899490,C16366,88299.0,,
1-methylxanthine,CHEMBL1250,C16358,80220.0,,
N1-methylinosine,,,65095.0,,
beta-guanidinopropanoate,CHEMBL20489,C03065,67701.0,,
"N2,N2-dimethylguanosine",,,92919.0,,
N4-acetylcytidine,,,107461.0,,
N6-carbamoylthreonyladenosine,,,161466.0,,
orotidine,,C01103,92751.0,,
phenylacetylglutamine,CHEMBL4303372,C04148,92258.0,,
4-hydroxyhippurate,CHEMBL500596,,151012.0,,
"5,6-dihydrouridine",CHEMBL3237555,,94312.0,,
3-(3-amino-3-carboxypropyl)uridine*,,,171198.0,,
1-arachidonylglycerol (20:4),CHEMBL354786,C13857,5282281.0,,
cysteine-glutathione disulfide,,,4247235.0,,
5-methyluridine (ribothymidine),CHEMBL106175,,445408.0,,
isovalerylglycine,,,546304.0,,
nicotinurate (nicotinoylglycine),CHEMBL458725,C05380,68499.0,,
7-methylguanine,,C02242,11361.0,,
1-stearoyl-GPE (18:0),,,9547068.0,,
3-methylcytidine,,,159649.0,,
N1-Methyl-2-pyridone-5-carboxamide,CHEMBL3542314,C05842,69698.0,,
gamma-glutamylisoleucine*,,,14253342.0,,
oleoylcarnitine (C18:1),,,6441392.0,,
2-methylbutyrylcarnitine (C5),,,6426901.0,,
phenol sulfate,,C02180,74426.0,,
1-palmitoleoyl-GPC (16:1)*,,,24779461.0,,
malonylcarnitine,,,22833583.0,,
hexanoylglycine,,,99463.0,,
lidocaine,CHEMBL79,D00358,3676.0,,
pyroglutamine*,,,134508.0,,
2-hydroxy-3-methylvalerate,,,164623.0,,
testosterone sulfate,CHEMBL4463070,C00535,119207.0,,
homostachydrine*,,C08283,441447.0,,
1-arachidonoyl-GPC (20:4n6)*,,C05208,,,
1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,,,,,
1-dihomo-linoleoyl-GPC (20:2)*,,,,,
2-arachidonoyl-GPC (20:4)*,,,,,
2-oleoyl-GPC (18:1)*,,,,,
2-linoleoyl-GPC (18:2)*,,,,,
2-palmitoyl-GPC (16:0)*,,,15061532.0,,
2-myristoyl-GPC (14:0)*,,,,,
1-docosahexaenoyl-GPC (22:6)*,,,,,
1-palmitoyl-GPE (16:0),,,9547069.0,,
1-oleoyl-GPE (18:1),CHEMBL3262734,,9547071.0,,
1-linoleoyl-GPE (18:2)*,,,52925130.0,,
1-arachidonoyl-GPE (20:4n6)*,,,42607465.0,,
N-acetylcitrulline,,C15532,656979.0,,
2-hydroxypalmitate,,,92836.0,,
docosapentaenoate (n6 DPA; 22:5n6),,C16513,6441454.0,,
gulonate*,,C00257,152304.0,,
isobutyrylglycine,CHEMBL2158191,,10855600.0,,
glutarylcarnitine (C5-DC),,,71464488.0,,
2-methylmalonylcarnitine (C4-DC),,,53481628.0,,
tiglylcarnitine (C5:1-DC),,,22833596.0,,
hydroquinone sulfate,,C00530,161220.0,,
catechol sulfate,,C00090,3083879.0,,
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),,C17337,3081085.0,,
N-acetyl-aspartyl-glutamate (NAAG),CHEMBL64966,C12270,5255.0,,
tetradecanedioate (C14-DC),,,13185.0,,
hexadecanedioate (C16-DC),CHEMBL4519590,C19615,10459.0,,
1-myristoylglycerol (14:0),CHEMBL463092,C01885,79050.0,,
glycerophosphoethanolamine,,C01233,123874.0,,
3-(3-hydroxyphenyl)propionate,CHEMBL134401,C11457,91.0,,
ectoine,CHEMBL1230264,C06231,126041.0,,
2-oleoyl-GPE (18:1)*,,,,,
2-palmitoyl-GPE (16:0)*,,,,,
1-arachidonoyl-GPI (20:4)*,,,,,
1-palmitoyl-GPI (16:0),,,,,
glycolithocholate sulfate*,CHEMBL2074584,C11301,72222.0,,
taurolithocholate 3-sulfate,CHEMBL270493,C03642,440071.0,,
deoxycarnitine,,C01181,134.0,,
N6-succinyladenosine,,,165243.0,,
1-ribosyl-imidazoleacetate*,,C05131,5117448.0,,
2-arachidonoyl-GPE (20:4)*,,,,,
leucylleucine,CHEMBL54933,C11332,76807.0,,
N2-acetyllysine,CHEMBL1241437,C12989,92907.0,,
indoleacetylglutamine,,,25200879.0,,
hexanoylglutamine,,,,,
N6-acetyllysine,CHEMBL1230958,C02727,92832.0,,
dihomo-linolenate (20:3n3 or n6),CHEMBL465183,C03242,5280581.0,,
mannitol/sorbitol,CHEMBL1682,C00794,5780.0,,
tryptophan betaine,CHEMBL2235164,C09213,442106.0,,
4-vinylphenol sulfate,,C05627,6426766.0,,
4-ethylphenylsulfate,CHEMBL4530825,C13637,20822574.0,,
thymol sulfate,,C09908,,,
pyrraline,,,122228.0,,
2-linoleoyl-GPE (18:2)*,,,,,
1-oleoyl-GPI (18:1),,,,,
1-linoleoyl-GPI (18:2)*,,,,,
1-palmitoleoyl-GPE (16:1)*,,,,,
desmethylnaproxen sulfate,,,184679.0,,
sucralose,CHEMBL3185084,C12285,71485.0,,
2-hydroxyacetaminophen sulfate*,,,86290013.0,,
2-methoxyacetaminophen sulfate*,,,86290014.0,,
2-methoxyacetaminophen glucuronide*,,,14367271.0,,
3-(cystein-S-yl)acetaminophen*,CHEMBL2074942,,5233914.0,,
o-cresol sulfate,,,11615528.0,,
dimethylarginine (SDMA + ADMA),CHEMBL457530,C03626,123831.0,,
gamma-glutamylalanine,,,440103.0,,
N-acetylserine,,,65249.0,,
1-stearoyl-2-oleoyl-GPE (18:0/18:1),,,,,
chiro-inositol,,C19891,,,
4-allylphenol sulfate,,,,,
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),,,16219824.0,,
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),,,9546747.0,,
sphinganine-1-phosphate,,,520.0,,
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),,,,,
succinylcarnitine (C4-DC),,,71464481.0,,
"bilirubin (E,E)*",,,5315454.0,,
"bilirubin (E,Z or Z,E)*",,,5799469.0,,
N-methylproline,,,557.0,,
beta-cryptoxanthin,,,6384256.0,,
"5alpha-androstan-3beta,17beta-diol disulfate",CHEMBL316048,C12525,242332.0,,
"5alpha-pregnan-3beta,20alpha-diol disulfate",,,,,
glycocholenate sulfate*,,,,,
taurocholenate sulfate*,,,,,
"androstenediol (3beta,17beta) disulfate (1)",,C04295,87120982.0,,
pregnenediol disulfate (C21H34O8S2)*,,,,,
"androstenediol (3beta,17beta) disulfate (2)",,C04295,87120982.0,,
21-hydroxypregnenolone disulfate,,C05485,134595.0,,
21-hydroxypregnenolone monosulfate (1),,,174681.0,,
"5alpha-androstan-3alpha,17alpha-diol monosulfate",,,,,
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",,,,,
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",,,,,
5alpha-pregnan-diol disulfate,,,5127902.0,,
"5alpha-androstan-3alpha,17beta-diol disulfate",,,,,
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",,,,,
"5alpha-androstan-3beta,17alpha-diol disulfate",,,,,
"5alpha-androstan-3beta,17beta-diol monosulfate (2)",,,,,
"androstenediol (3alpha, 17alpha) monosulfate (2)",,,,,
"androstenediol (3alpha, 17alpha) monosulfate (3)",,,,,
"androstenediol (3beta,17beta) monosulfate (1)",,,13847309.0,,
"androstenediol (3beta,17beta) monosulfate (2)",,,,,
